Player,Team,Matches,Runs,Average,StrikeRate,Wickets,Economy,Photo,TeamLogo
Virat Kohli,RCB,15,672,48.00,145.6,0,0,images/kohli.jpg,images/rcb.png
Rohit Sharma,MI,14,428,30.57,134.2,0,0,images/rohit.jpg,images/mi.png
KL Rahul,DC,14,512,39.38,137.9,0,0,images/rahul.jpg,images/dc.png
Shubman Gill,GT,15,681,52.38,156.4,0,0,images/gill.jpg,images/gt.png
Hardik Pandya,MI,14,362,32.90,141.7,9,8.3,images/hardik.jpg,images/mi.png
Ravindra Jadeja,CSK,15,228,28.50,132.8,21,7.2,images/jadeja.jpg,images/csk.png
Phil Salt,RCB,13,419,34.91,159.2,0,0,images/salt.jpg,images/rcb.png
Jasprit Bumrah,MI,14,54,9.00,96.3,26,6.4,images/bumrah.jpg,images/mi.png
Mohammed Shami,SRH,15,26,6.50,78.4,27,7.1,images/shami.jpg,images/srh.png
Yuzvendra Chahal,PBKS,14,39,7.80,85.2,23,7.9,images/chahal.jpg,images/pbks.png
